about,brand,image,link,price,title
"61MP back-illuminated full-frame sensor,AI powered autofocus,8K and 4K/60P video recording,8-stops In-body Image Stabilisation,High speed Wi-Fi 2.4Ghz/5Ghz transfer",Sony,https://i.jessops.com/ce-images/product/product_enlarged/asonycm175379943.jpg,https://www.jessops.com/p/Sony/a7R-V-Mirrorless-Camera-Body-202017,"£3,999.00",Sony a7R V Mirrorless Camera Body
"40.2MP X-Trans 5 HR BSI CMOS Sensor,X-Processor 5,Lightweight weather resistant body,6.2K/30P, 4K/60P video,15 fps (mechanical shutter)",Fujifilm,https://i.jessops.com/ce-images/product/product_enlarged/afujicm175380039.jpg,https://www.jessops.com/p/Fujifilm/X-T5-Mirrorless-Camera-Body-in-Black-202094,"£1,699.00",Fujifilm X-T5 Mirrorless Camera Body in Black
"New 33MP Exmor R back-illuminated sensor,Bionz XR processing power,New 3-inch vari-angle touchscreen,Shoot 4K 60p video,5-axis in-body image stabilisation",Sony,https://i.jessops.com/ce-images/product/product_enlarged/asonycm175374757.jpg,https://www.jessops.com/p/Sony/a7-IV-Mirrorless-Camera-Body-197599,"£2,399.00",Sony a7 IV Mirrorless Camera Body
"Full frame 24.2 megapixel CMOS sensor,Dual Pixel CMOS AF II,Up to 8-stop Image Stabiliser,Oversampled 4K 60p video or 6K RAW,40fps electronic shutter",Canon,https://i.jessops.com/ce-images/product/product_enlarged/acanocm195380049.jpg,https://www.jessops.com/p/Canon/EOS-R6-Mark-II-Mirrorless-Camera-Body-202109,"£2,779.00",Canon EOS R6 Mark II Mirrorless Camera Body
"For photographers and videographers alike,24.2MP full-frame Exmor R Senso,Full-frame 4K movie recording,ISO 50-204800,5-axis image stabilisation",Sony,https://i.jessops.com/ce-images/product/product_enlarged/asonycm175318202.jpg,https://www.jessops.com/p/Sony/a7-III-Mirrorless-Camera--FE-28-70mm-f3.5-5.6-OSS-Lens-143629,"£1,899.00",Sony a7 III Mirrorless Camera + FE 28-70mm f/3.5-5.6 OSS Lens
"For photographers and videographers alike,24.2MP full-frame Exmor R Sensor,Full-frame 4K movie recording,ISO 50-204800,5-axis image stabilisation",Sony,https://i.jessops.com/ce-images/product/product_enlarged/asonycm175318201.jpg,https://www.jessops.com/p/Sony/a7-III-Mirrorless-Camera-Body-143628,"£1,699.00",Sony a7 III Mirrorless Camera Body
"New 33MP Exmor R back-illuminated sensor,Bionz XR processing power,New 3-inch vari-angle touchscreen,Shoot 4K 60p video,5-axis in-body image stabilisation",Sony,https://i.jessops.com/ce-images/product/product_enlarged/asonycm175374758.jpg,https://www.jessops.com/p/Sony/a7-IV-Mirrorless-Camera-with-FE-28-70mm-f3.5-5.6-OSS-Lens-197600,"£2,599.00",Sony a7 IV Mirrorless Camera with FE 28-70mm f/3.5-5.6 OSS Lens
"32.5 megapixel APS-C sensor,Dual Pixel CMOS AF II,15fps continuous shooting (mechanical),4K 60p and oversampled 4K 30p video from 7K,Up to 8-stops In-Body IS (IBIS)",Canon,https://i.jessops.com/ce-images/product/product_enlarged/acanocm195378154.jpg,https://www.jessops.com/p/Canon/EOS-R7-Mirrorless-Camera-Body-200445,"£1,349.00",Canon EOS R7 Mirrorless Camera Body
"40.2MP X-Trans 5 HR BSI CMOS Sensor,X-Processor 5,Lightweight weather resistant body,6.2K/30P, 4K/60P video,15 fps (mechanical shutter)",Fujifilm,https://i.jessops.com/ce-images/product/product_enlarged/afujicm175380040.jpg,https://www.jessops.com/p/Fujifilm/X-T5-Mirrorless-Camera-Body-in-Silver-202102,"£1,699.00",Fujifilm X-T5 Mirrorless Camera Body in Silver
"45.7MP Stacked CMOS Sensor,Expeed 7 Processor,8K video shooting,24-bit sound,Magnesium alloy body with weather sealing",Nikon,https://i.jessops.com/ce-images/product/product_enlarged/anikocm175374883.jpg,https://www.jessops.com/p/Nikon/Z-9-Mirrorless-Camera-Body-197719,"£5,299.00",Nikon Z 9 Mirrorless Camera Body
