about,brand,image,link,price,title
"Lithium-ion battery,Capapcity: 7.2v,For Canon EOS 750D and EOS M3",Canon,https://i.jessops.com/ce-images/product/product_enlarged/acanoca525281646.jpg,https://www.jessops.com/p/Canon/LP-E17-Battery-Pack-97728,£53.00,Canon LP-E17 Battery Pack
"High power lithium-ion battery battery,For Canon EOS R5 and R6,MFR ref: 4132C002AA",Canon,https://i.jessops.com/ce-images/product/product_enlarged/acanoca525365397.jpg,https://www.jessops.com/p/Canon/LP-E6NH-High-Power-Lithium-Ion-Battery-189770,£119.00,Canon LP-E6NH High Power Lithium-Ion Battery
"High power Lithium-ion battery,Use with MH-25 and MH-25a chargers,Use withEH-7P Charging AC Adapter.,MFR ref: VFB12802",Nikon,https://i.jessops.com/ce-images/product/product_enlarged/anikoca525365606.jpg,https://www.jessops.com/p/Nikon/EN-EL15c-lithium-ion-Battery-189942,£59.99,Nikon EN-EL15c lithium-ion Battery
"Sony NP-FZ100 Battery,Capacity: 7.2V / 16.4Wh (2280mAh)",Sony,https://i.jessops.com/ce-images/product/product_enlarged/asonybr305299253.jpg,https://www.jessops.com/p/Sony/NP-FZ100-Battery-123065,£65.00,Sony NP-FZ100 Battery
"For the Fujifilm X-T4,7.2V, 2200mAh,500 frames per charge in Normal mode,600 frames per per charge in Economy mode,Up to 1,700 frames with the VG-XT4 grip",Fujifilm,https://i.jessops.com/ce-images/product/product_enlarged/afujica525363163.jpg,https://www.jessops.com/p/Fujifilm/NP-W235-Li-ion-Battery-for-X-T4-187548,£59.00,Fujifilm NP-W235 Li-ion Battery for X-T4
"Compact rechargeable lithium-ion battery,7.2 volts,1230mAh,Use in place of the Nikon EN-EL14",Nikon,https://i.jessops.com/ce-images/product/product_enlarged/anikoca525271679.jpg,https://www.jessops.com/p/Nikon/EN-EL14a-Li-ion-Battery-89917,£49.99,Nikon EN-EL14a Li-ion Battery
"Replacement for Fuji NP-W126S,7.2v 1130mAh 8.1Wh,High Quality Performance Cells,Protection Circuit",Hahnel,https://i.jessops.com/ce-images/product/product_enlarged/ahahnca525265078.jpg,https://www.jessops.com/p/Hahnel/HL-F126S-Battery-Replacement-for-Fujifilm-NP-W126S-84523,£24.99,Hahnel HL-F126S Battery Replacement for Fujifilm NP-W126S
"Lithium Ion,High Performance,Quality Cells,Protection Circuit",Hahnel,https://i.jessops.com/ce-images/product/product_enlarged/ahahnca525365152.jpg,https://www.jessops.com/p/Hahnel/Fujifilm-HL-W235-Battery-189564,£49.99,Hahnel Fujifilm HL-W235 Battery
"Sony NP-FZ100 Replacement,7.2V 2000MAH 14.4WH,High performance cells",Hahnel,https://i.jessops.com/ce-images/product/product_enlarged/ahahnca525320865.jpg,https://www.jessops.com/p/Hahnel/HL-XZ100-Battery---Replacement-Sony-NP-FZ100-148440,£59.99,Hahnel HL-XZ100 Battery - Replacement Sony NP-FZ100
"Replacement for Sony NP-BX1,HL-X1 Sony Type Li-Ion,3.6v 1170mAh 4.2Wh,High Quality Performance Cells,Protection Circuit",Hahnel,https://i.jessops.com/ce-images/product/product_enlarged/ahahnca525270860.jpg,https://www.jessops.com/p/Hahnel/HL-X1-Battery-(Sony-NP-BX1)-89231,£29.99,Hahnel HL-X1 Battery (Sony NP-BX1)
"InfoLITHIUM battery,For the Sony RX100 series,3.6V,1240mAh,4.5Wh",Sony,https://i.jessops.com/ce-images/product/product_enlarged/asonyca525266975.jpg,https://www.jessops.com/p/Sony/NP-BX1-X-Series-Rechargeable-Battery-86132,£39.00,Sony NP-BX1 X-Series Rechargeable Battery
"Replacement for Nikon EN-EL15,7.v 1650mAh 11.6Wh,High Quality Performance Cells,Protection Circuit",Hahnel,https://i.jessops.com/ce-images/product/product_enlarged/ahahnca525268248.jpg,https://www.jessops.com/p/Hahnel/HL-EL15ab-Battery-Replacement-for-Nikon-EN-EL15-87142,£49.99,Hahnel HL-EL15a/b Battery Replacement for Nikon EN-EL15
"For Sony NEX,1020mAh,7.2V,ActiFORCE technology",Sony,https://i.jessops.com/ce-images/product/product_enlarged/asonyca525156581.jpg,https://www.jessops.com/p/Sony/NP-FW50-Battery-for-NEX-Cameras-77709,£54.99,Sony NP-FW50 Battery for NEX Cameras
"High-capacity 2,280 mAh lithium-ion battery,For the Olympus OM-1 camera",OM System,https://i.jessops.com/ce-images/product/product_enlarged/aolymca525376881.jpg,https://www.jessops.com/p/OM System/BLX-1-Battery-199300,£79.99,OM System BLX-1 Battery
"Replacement for LP-E12,7.2v 800mAh 5.8Wh,High Performance cells,HL-E12 Canon Type Li-Ion",Hahnel,https://i.jessops.com/ce-images/product/product_enlarged/ahahnca525270531.jpg,https://www.jessops.com/p/Hahnel/HL-E12-Relacement-battery-for-Canon-LP-E12-88874,£29.99,Hahnel HL-E12 Relacement battery for Canon LP-E12
"Re-chargeable Lithium-Ion Battery,For Select X-Series and FinePix Cameras",Fujifilm,https://i.jessops.com/ce-images/product/product_enlarged/afujica525287899.jpg,https://www.jessops.com/p/Fujifilm/NP-W126S-Lithium-Ion-Battery-99908,£49.00,Fujifilm NP-W126S Lithium-Ion Battery
"For Fujifilm Cameras,LCD Shows Charging status,Cableless battery plate,Battery Health Check,Universal Worldwide Plugs",Hahnel,https://i.jessops.com/ce-images/product/product_enlarged/ahahnca535367657.jpg,https://www.jessops.com/p/Hahnel/proCube-2-Charger-Fujifilm-191513,£99.99,Hahnel proCube 2 Charger Fujifilm
"7.2v 1000mAh 7.2Wh,High Performance Quality Cells,Protection Circuit,Info system,Replacement for Sony NP-FW50",Hahnel,https://i.jessops.com/ce-images/product/product_enlarged/ahahnca525157847.jpg,https://www.jessops.com/p/Hahnel/HL-XW50-Battery---Replacement-for-Sony-NP-FW50-78026,£39.99,Hahnel HL-XW50 Battery - Replacement for Sony NP-FW50
"Replacement for Nikon EN-EL14/EL14a,7.4v 1050mAh 7.8Wh,High Quality Performance Cells,Protection Circuit,Li-ion",Hahnel,https://i.jessops.com/ce-images/product/product_enlarged/ahahnca525268247.jpg,https://www.jessops.com/p/Hahnel/HL-EL14a-Battery-(Nikon-EN-EL14a)-87141,£39.99,Hahnel HL-EL14a Battery (Nikon EN-EL14a)
